,Wavelength (nm),Mean Curve (s.u.),Std (s.u.),Correction Value,Mean Corrected (s.u.),Std Corrected (s.u.),Transmittance,Std Transmittance,Absorbance,Std Absorbance
1451,613.969,344.4081,8.441634846994976,1.3096158114815983,349.8674,11.055298470378665,1.0,0.03999043762282188,0.0,0.017367626388487736
1452,614.141,349.3008,13.223400068061157,1.326159939623484,342.12420000000003,17.536343435877157,1.0,0.06372158232114111,0.0,0.027673931580215385
1453,614.313,340.51120000000003,11.571902745875448,1.3623397608775518,361.1827,15.764863219714243,1.0,0.05531767082481793,0.0,0.02402415919095893
1454,614.485,362.1897,8.241751149482731,1.351580354432906,390.09149999999994,11.139388939765679,1.0,0.03651357894993545,0.0,0.015857645852495696
1455,614.657,370.79179999999997,12.570119162521896,1.4252039962134544,418.9933,17.91498406330553,1.0,0.05456591968487724,0.0,0.023697677819118208
1456,614.829,374.05690000000004,9.808837601367454,1.5237790901141717,458.48729999999995,14.946501635289373,1.0,0.041837442490036666,0.0,0.018169770410367565
1457,615.0,389.67909999999995,9.709721112884756,1.5492807725893927,488.4291999999999,15.043084227397632,1.0,0.039616164923719784,0.0,0.01720508182054066
1458,615.172,408.8536,7.98997962700781,1.6005759396318382,512.7938,12.78856914913727,1.0,0.03168374143076467,0.0,0.013760074069430535
1459,615.344,433.10810000000004,11.699311111770646,1.4972138099353063,515.7941999999999,17.516370163272594,1.0,0.04339301749754415,0.0,0.018845348052314675
1460,615.516,464.70400000000006,11.275009960084294,1.3649598722926326,488.92029999999994,15.389936155214818,1.0,0.039743032449021914,0.0,0.017260179686712094
1461,615.688,467.9982,8.487538604330464,1.2973767630686097,454.04580000000004,11.011535360906123,1.0,0.030283160780584833,0.0,0.013151809621596964
1462,615.86,443.37430000000006,12.449056318050781,1.232537130131045,407.6603,15.343924147090064,1.0,0.04695814237457734,0.0,0.0203936621137062
1463,616.032,401.3169,9.733944128152785,1.2944587613912562,390.4397,12.600189259580345,1.0,0.04037045938115883,0.0,0.017532667741136643
1464,616.204,389.2943,8.699230886118611,1.3281657992073443,393.69649999999996,11.55402094235094,1.0,0.03688669594245742,0.0,0.016019688503452326
1465,616.376,375.209,8.301731337498222,1.3893683542397828,406.9239,11.534162805720735,1.0,0.03595787510396179,0.0,0.015616306738616921
1466,616.548,382.59889999999996,9.937440157807243,1.4902350322241764,446.85069999999996,14.809121453795703,1.0,0.04210648298114222,0.0,0.018286613211063247
1467,616.72,402.21680000000003,7.62730648132091,1.4174949878391443,456.4572000000001,10.81166870798541,1.0,0.030341900655835915,0.0,0.013177320025286194
1468,616.892,411.61899999999997,11.166383873036072,1.3287967748463765,429.41370000000006,14.837854877186922,1.0,0.043930491306821313,0.0,0.019078769961851268
1469,617.064,388.4317,13.58921522421365,1.326407472477121,384.4348,18.024836618496842,1.0,0.058500344250036265,0.0,0.025406376697231375
1470,617.236,339.79619999999994,10.161560960797317,1.3582355788780667,350.71680000000003,13.801793633893308,1.0,0.049426387323862855,0.0,0.02146560727516647
1471,617.407,311.6998,9.254688009868293,1.281627987165529,301.81160000000006,11.861067165932456,1.0,0.04925458072472841,0.0,0.021390992617207814
1472,617.579,282.3219,5.469675684169951,1.3033220518746513,277.2282,7.128748935781268,1.0,0.032195913188217615,0.0,0.013982507437479039
1473,617.751,279.71189999999996,10.06848853055909,1.2845661067082434,265.8714,12.933639112136893,1.0,0.06051579551841936,0.0,0.026281676061635062
1474,617.923,296.02410000000003,8.967421050112454,1.230675766812258,270.43780000000004,11.03598777717553,1.0,0.05082262961030436,0.0,0.022071987595567992
1475,618.095,303.17819999999995,11.52228497998553,1.2159218049137346,274.4113,14.01019754959442,1.0,0.06364778302442829,0.0,0.027641880952884668
1476,618.267,320.2572,12.836398660060382,1.1939727508457816,281.38320000000004,15.3263102191054,1.0,0.06762591977411958,0.0,0.029369563791532133
1477,618.439,312.5535,11.422454537007356,1.306740659216159,322.95050000000003,14.926185771555598,1.0,0.05892114475282236,0.0,0.025589128033573487
1478,618.611,316.90549999999996,9.205819672902578,1.455229986314665,374.4055,13.396584836613291,1.0,0.04608824886536256,0.0,0.020015872162810762
1479,618.783,339.0428,7.049522307220534,1.5836887722721629,417.9710999999999,11.164249327827312,1.0,0.03384937089179924,0.0,0.014700594994204962
1480,618.955,366.6812,11.59174993519098,1.6494343385315566,481.87350000000004,19.11983038677495,1.0,0.05073174212800499,0.0,0.0220325156635313
1481,619.127,394.5222,10.149087050567653,1.5511897814951696,500.0116,15.743160124345494,1.0,0.040658559241907054,0.0,0.017657787920896693
1482,619.299,412.9423,12.815162434007615,1.41025553323391,465.9088,18.07265373185058,1.0,0.049676638861629,0.0,0.021574290137106107
1483,619.471,387.2414,6.524461452104691,1.3213239182125296,389.3236,8.62092697012158,1.0,0.027824482956940007,0.0,0.01208401941001012
1484,619.643,330.7607,9.318910301639363,1.2241935118037497,296.8504,11.408149528348032,1.0,0.04765184111575414,0.0,0.020694931649102515
1485,619.815,259.32399999999996,8.197803913244083,1.1166441107544618,207.51100000000002,9.154029460843887,1.0,0.05427089006189916,0.0,0.02356954808186083
1486,619.986,188.86989999999997,7.967863295137538,1.1305739669052919,150.83790000000002,9.008258813342717,1.0,0.07311907455318441,0.0,0.03175521060032046
1487,620.158,146.9576,8.902386423875342,1.238869492271651,136.7536,11.028894948952484,1.0,0.10086512675133105,0.0,0.04380516796457514
1488,620.33,145.8526,11.306190969552917,1.3354687414440432,140.2339,15.09906462463484,1.0,0.1326724592657381,0.0,0.057618916959643995
1489,620.502,163.58560000000003,8.033498281570735,1.277708009251517,161.973,10.264465096671225,1.0,0.08017243500762415,0.0,0.034818446124558255
1490,620.674,191.79739999999998,5.962416795226579,1.2702765383814612,192.79799999999997,7.573918167027904,1.0,0.050096454205268225,0.0,0.02175661362426694
1491,620.846,224.26010000000002,6.457086966272024,1.329515552756996,224.2337,8.584797547163143,1.0,0.04790378744206285,0.0,0.02080435054835418
1492,621.018,250.7745,9.754941006997432,1.4041085781485452,267.33090000000004,13.696996347258102,1.0,0.06432955233822463,0.0,0.027937969603797384
1493,621.19,275.32200000000006,16.33966114703729,1.4266432767751316,310.90680000000003,23.310867720204584,1.0,0.09562256832308057,0.0,0.04152835376813057
1494,621.362,317.76380000000006,8.555075859394815,1.4820894523933197,376.6345,12.679387695633771,1.0,0.04310643224343315,0.0,0.018720885657859426
1495,621.534,357.6051,10.49595986511001,1.478802207579071,417.1982,15.52144861918601,1.0,0.04738778738561705,0.0,0.020580254571178007
1496,621.706,408.02270000000004,13.496166530167004,1.4240323321266326,456.1889,19.21897749872312,1.0,0.053562828493236965,0.0,0.02326204084974308
1497,621.878,442.6358,6.916259217235861,1.3129430378021625,457.5831,9.080654386904857,1.0,0.02525792551237889,0.0,0.010969377674349514
1498,622.05,456.0977,10.754878112280025,1.3180556721389216,456.9384,14.175528099053425,1.0,0.038967203177579166,0.0,0.01692324131522549
1499,622.222,453.4848,12.176493007430347,1.3065651982972555,449.8389,15.909382000818376,1.0,0.044404803617395676,0.0,0.019284761181032496
1500,622.394,428.69740000000013,14.301687419322239,1.2663524226287637,428.3179999999999,18.110976511138027,1.0,0.053859773517163985,0.0,0.023391002435063212
1501,622.566,415.2518999999999,11.212714849223634,1.337113714769501,417.89430000000004,14.992674804696557,1.0,0.044902756052975556,0.0,0.01950101917605512
1502,622.738,380.0672,11.736563064202391,1.4525621686476546,434.8669,17.04808749700779,1.0,0.049904548612660395,0.0,0.021673270084350986
1503,622.91,378.4455000000001,9.717567609746789,1.4387247038448332,433.6381,13.980904581425092,1.0,0.04121671289106918,0.0,0.01790019097078197
1504,623.082,377.98990000000003,11.18559186140814,1.416085656449961,421.3451,15.839756193843488,1.0,0.04784308988228483,0.0,0.020777989933077595
1505,623.253,374.84709999999995,10.144179389679579,1.3502356698637468,389.1949,13.69703285344202,1.0,0.04439511557266373,0.0,0.019280553716664976
1506,623.425,346.50809999999996,10.667325029734496,1.3048832282914478,347.78869999999995,13.919613522034112,1.0,0.05049341574826824,0.0,0.02192901183191965
1507,623.597,299.00440000000003,9.62300946897591,1.2986671300294164,295.9652,12.497086089320844,1.0,0.053091580296411076,0.0,0.023057380358254737
1508,623.769,244.13939999999997,7.419138052361616,1.3189306601287172,242.4581,9.785328648987392,1.0,0.050520531333474006,0.0,0.02194078798094809
1509,623.941,209.95460000000003,10.24815609951371,1.4417407392763384,229.7225,14.775184151132214,1.0,0.08074210471882642,0.0,0.03506585053664082
1510,624.113,186.677,9.433710712121714,1.4021754689081354,222.36609999999996,13.227717741312965,1.0,0.07805376250248736,0.0,0.033898318346617204
1511,624.285,182.6647,6.107720459385805,1.3643741325462866,212.92450000000002,8.333215803609715,1.0,0.05147542726642886,0.0,0.022355494015422243
1512,624.457,186.29209999999998,5.199193330700446,1.2891985747031813,199.20979999999997,6.702792631545301,1.0,0.04371517408891028,0.0,0.018985258882253744
1513,624.629,178.23790000000002,7.432764189048378,1.257682777467762,190.8965,9.348059509545282,1.0,0.06431945318642626,0.0,0.02793358359789945
1514,624.801,167.4925,7.212190558353266,1.4276470470027933,191.81879999999998,10.296462553054468,1.0,0.06881482253516072,0.0,0.02988589770017184
1515,624.973,168.2475,9.92079405340117,1.4782705655456962,203.5039,14.665617835983728,1.0,0.09311481662346029,0.0,0.04043925104300198
1516,625.145,171.4366,6.712723310251958,1.5204729813670919,223.9716,10.206514424631168,1.0,0.06008200691482866,0.0,0.0260932840647831
1517,625.317,187.3317,10.043684931836529,1.5565159128978225,246.24859999999998,15.633155420535639,1.0,0.08309564570886392,0.0,0.036087980401547225
1518,625.489,209.41220000000004,8.238666479473482,1.4809312404659056,259.6924,12.200898569231539,1.0,0.06127888377135247,0.0,0.026613081079089104
1519,625.661,228.1929,8.656031232037003,1.3980486979372981,259.405,12.101553193253919,1.0,0.06012689188978063,0.0,0.026112777361725112
1520,625.833,241.5381,8.323826180909837,1.3245823674747206,265.5381,11.025593389157613,1.0,0.05395983658410989,0.0,0.023434459272880136
1521,626.005,246.795,6.43753702901972,1.3957963333567989,277.5876,8.985490580954345,1.0,0.04157181840110906,0.0,0.018054411334285727
1522,626.177,258.58399999999995,11.410945929238286,1.3761336314591563,274.6182,15.70298645998676,1.0,0.07222891885433746,0.0,0.0313686208922765
1523,626.349,256.39109999999994,10.758315169672247,1.4042396290384525,292.8692,15.107252502939312,1.0,0.06649480000212508,0.0,0.02887832471618326
1524,626.521,263.74159999999995,9.95924435085313,1.445353612298376,301.87669999999997,14.394629798267765,1.0,0.06082488319268767,0.0,0.026415911132994095
1525,626.693,270.7347,7.14990411194444,1.5104110871067737,330.2029,10.799294442431194,1.0,0.042036507259673776,0.0,0.018256223141362306
1526,626.865,284.54589999999996,11.460040422703576,1.4629685624216004,342.0697,16.76567886249608,1.0,0.06343724708093867,0.0,0.027550446354384833
1527,627.037,297.2445,10.746790900078024,1.3782897512819792,333.18170000000003,14.812191756747977,1.0,0.05730244793217439,0.0,0.024886136936491738
1528,627.208,296.65590000000003,9.947023659869314,1.38968700629807,325.99249999999995,13.82324953145986,1.0,0.05405884599934338,0.0,0.023477458515572508
1529,627.38,276.4229,12.268872453897306,1.3997766022271354,302.76580000000007,17.17368059667447,1.0,0.0720238662118374,0.0,0.03127956766113904
1530,627.552,252.32240000000002,6.704529337694033,1.4324006664833957,281.88800000000003,9.603572291770412,1.0,0.043205471965555194,0.0,0.018763898062666262
1531,627.724,240.1062,7.3701086396334725,1.4186106760933632,268.3112,10.455314800151978,1.0,0.04960475755521911,0.0,0.0215430724823803
1532,627.896,230.8569,8.328421512507635,1.4485943328040856,271.9746,12.06450420422219,1.0,0.05717693445657705,0.0,0.024831627126635315
1533,628.068,225.7428,12.268254544147672,1.390255100301672,261.02540000000005,17.056003451800464,1.0,0.08498895876079879,0.0,0.03691023581251794
