,Wavelength (nm),Mean Curve,Std,Correction Value,Mean Corrected,Std Corrected,Transmittance,Std Transmittance,Absorbance,Std Absorbance
2381,774.093,60.26751,9.327996966278453,2.1172103085421434,127.59899344216672,19.74933133505458,0.8790497469072273,0.19241264010368275,0.05598654677382448,0.09506145487154649
2382,774.266,69.35846000000001,9.669685505247829,2.077418927760991,144.0865776043536,20.08798769409794,0.8565905211263676,0.16888892438696734,0.0672267357359589,0.08562729344633377
2383,774.438,60.843180000000004,9.037329389570793,2.037344626172341,123.95852581223647,18.41215446679142,0.6916664573056408,0.14529140372377647,0.1601032851284454,0.09122786603099756
2384,774.61,66.58917,10.086848130020595,2.001490183540252,133.27757008509303,20.18872751509757,0.8076679561537206,0.1730213638305409,0.09276714720617815,0.09303603416535351
2385,774.783,52.39737,13.018349200344106,2.185658777569693,114.52277166206692,28.453669199199492,0.7055505105264266,0.2479074260337989,0.1514718895529093,0.15259690914118443
2386,774.955,59.370219999999996,8.918087374521512,1.9675340551097025,116.81292970935515,17.54664061581495,0.7286767416868318,0.15479358918391686,0.13746509230897896,0.09225764700675203
2387,775.128,56.311599999999984,13.919509928011117,2.147175625610396,120.91089495912236,29.88763243786739,0.8804969295281599,0.30780021687003983,0.055272154167234744,0.15181874147694832
2388,775.3,66.92481000000001,13.925384790981537,1.9775826329476502,132.34934196932124,27.538599119758434,0.9172085533281026,0.2699001659363484,0.03753190395749729,0.1277966197606944
2389,775.473,47.23872,16.09661136797432,2.2443780225966994,106.02154498359916,36.12688079256176,0.7624783347951664,0.36743357921674086,0.11777249193210505,0.2092838165200592
2390,775.645,45.653710000000004,12.825943204181906,2.250143579126552,102.72740241980567,28.860213747131752,0.7562641829424189,0.3004704496943149,0.12132646752509962,0.17254903937076327
2391,775.817,39.262,12.125259590953094,2.2466830359628878,88.2092693579749,27.24161502964062,0.7513342392515975,0.328145765976862,0.12416681936041855,0.18967842536448598
2392,775.99,43.243590000000005,8.612912533916736,2.3555787434380626,101.86368139395078,20.288393683985525,0.8510510710269508,0.2397170454093359,0.07004437740110324,0.12232848718914185
2393,776.162,40.12704,14.938719373774983,2.3775121224458884,95.40252403787106,35.51698640496727,0.7521847395520525,0.3960187605090244,0.1236754818622567,0.22865228895983575
2394,776.335,44.18429,17.83453719435691,1.9433517537927396,85.86561746158701,34.65877913473535,0.6591843527394895,0.37628408562875876,0.18099311016948072,0.24790955874094245
2395,776.507,55.445499999999996,13.336611890581505,2.2802999220918307,126.4323693303426,30.411475055061988,0.8185820358850018,0.2784558948044338,0.08693779035483586,0.1477333404174374
2396,776.68,55.34131,9.475248853349445,2.360336584981257,130.62411865378908,22.3647765203624,0.7933157491094402,0.19208889735830822,0.10055392390185713,0.10515755958613258
2397,776.852,60.76299,10.257438451236256,1.9232201611643622,116.86060742062854,19.72731243132012,0.692239022154546,0.1652611834556816,0.15974392276983054,0.1036809797636343
2398,777.025,62.88544,11.101603182081405,1.9131964233051968,120.31219888597356,21.239547500911737,0.7235849057689283,0.18065088453920766,0.1405105012506372,0.10842636666521842
2399,777.197,38.691520000000004,9.3914960357549,2.3030613024587483,89.10894244530871,21.629191092141852,0.6749777487646247,0.2316986173484925,0.1707105438327108,0.1490796269406401
2400,777.369,51.21265,6.256453697143455,2.064593846914728,105.73332207419755,12.917035806629277,0.7051337302769665,0.12182529547525517,0.1517285102232731,0.07503265169339576
2401,777.542,49.511970000000005,12.553477396088304,1.9403440322874264,96.0702555162941,24.358064949955043,0.7030707248795343,0.25209710067629226,0.1530009852504954,0.15572313830344955
2402,777.714,60.029399999999995,7.952464875621895,2.056266576591019,123.4364488328129,16.352387725255358,0.8804581654987486,0.16495347930242835,0.0552912744777071,0.08136489459576568
2403,777.887,163.7487,12.5037979514226,1.6871174034386185,276.26328156044934,21.095375132925213,0.9909005860126692,0.107006256151649,0.0039699147496930765,0.046898979808649426
2404,778.059,400.6233,18.40744334257204,1.8737793932488607,750.6796839953562,34.49148801770742,0.7848386071119952,0.05099793893636794,0.10521964165855581,0.02821997193792874
2405,778.232,775.7436,18.405206900222566,2.1655054297773333,1679.8769779150157,39.85657547860721,0.6963324542521735,0.02336437335089487,0.1571833630117395,0.014572088888659403
2406,778.404,1183.157,19.57224414828305,2.283598363850501,2701.855389378267,44.69514471390171,0.6265606332771286,0.014658055092197224,0.20303689526279708,0.010160090027806554
2407,778.577,1478.0549999999998,36.327299720733414,2.324354529815567,3435.5238345665475,84.4375236618545,0.5950572630719513,0.020683130895026037,0.22544123958315068,0.01509530287861783
2408,778.749,1519.029,18.717476566033135,2.348715565816613,3567.767057226844,43.96202856344971,0.5683097951317844,0.00990333276581431,0.24541485858658502,0.007567989870115613
2409,778.921,1314.717,29.026922692562486,2.351970009919101,3092.174955530811,68.27045165314718,0.570963698869292,0.01782757255873603,0.24339150275575255,0.013560260316586829
2410,779.094,946.7837,26.115563145565144,2.271300540831441,2150.4303298603927,59.31629269663976,0.5737902199445837,0.02238292101671293,0.24124685842584778,0.016941346764978975
2411,779.266,587.8823999999998,13.586501758730982,2.1209033087142477,1246.8417272948725,28.815656533944487,0.6207646118732307,0.020288929808842553,0.2070730490086332,0.014194382365182454
2412,779.439,318.0804,13.015279514478367,1.7489213586413677,556.2976053251897,22.762700331558666,0.7268569986977009,0.042061094044208734,0.1385510235086467,0.02513135469417247
