Wavelength (nm),Curve-1_E (s.u),Curve-2_E (s.u),Curve-3_E (s.u),Curve-4_E (s.u),Curve-5_E (s.u),Curve-6_E (s.u),Curve-7_E (s.u),Curve-8_E (s.u),Curve-9_E (s.u),Curve-10_E (s.u)
380.32,434.907,603.054,565.362,412.512,452.913,407.93,432.143,612.833,514.11,401.459
380.491,759.117,630.781,556.187,653.606,652.61,561.015,709.074,751.282,717.744,654.59
380.662,553.417,772.014,364.387,607.389,644.784,415.637,444.328,386.56,601.547,235.556
380.833,882.292,567.146,468.857,416.47,563.958,430.315,483.51,395.171,736.42,735.928
381.005,350.582,347.413,590.848,748.037,821.949,271.573,494.184,509.769,609.217,387.252
381.176,401.197,495.597,432.414,443.028,379.047,565.855,396.355,358.607,500.624,387.306
381.347,373.172,225.869,258.094,132.406,468.48,353.345,382.036,345.297,284.177,386.849
381.518,359.423,631.331,426.752,614.832,686.292,451.394,714.98,461.718,561.455,346.79
381.689,426.265,534.384,426.973,720.582,624.953,473.349,489.148,118.641,599.521,587.925
381.86,604.004,617.615,761.974,538.39,747.511,790.5,380.472,919.689,466.245,446.177
382.032,939.768,775.635,424.858,902.241,812.789,1147.1,872.069,726.804,835.192,577.159
382.203,793.139,821.895,857.073,760.743,858.738,1180.46,1151.95,821.315,770.886,864.437
382.374,785.03,710.794,786.279,860.603,825.577,892.563,695.769,798.72,835.652,672.557
382.545,900.342,801.592,1004.57,798.597,887.857,654.651,939.939,867.637,811.452,840.25
382.716,506.929,498.776,428.029,437.255,542.376,676.005,822.871,575.611,546.504,458.38
382.887,772.464,558.85,732.43,671.736,783.368,601.265,785.44,734.871,833.916,628.62
383.059,490.529,704.481,638.961,610.359,723.206,666.694,443.29,549.305,517.073,610.67
383.23,831.746,640.261,634.604,893.623,930.926,914.391,799.928,811.045,1045.2,837.157
383.401,998.185,515.247,778.863,776.301,895.66,788.95,595.178,882.068,774.973,685.405
383.572,933.754,751.648,630.584,596.116,1116.57,606.056,806.53,827.797,719.25,660.482
383.743,721.332,868.835,644.414,758.593,827.341,637.539,815.942,608.481,585.239,775.752
383.915,699.08,857.704,900.133,909.331,708.341,949.518,773.93,819.894,650.927,739.852
384.086,717.654,907.142,904.676,1154.95,1048.06,678.718,1022.45,870.069,960.685,1008.51
384.257,1016.93,1138.78,814.094,1291.97,1446.4,855.707,1173.43,1124.82,984.046,790.205
384.428,471.202,742.535,555.071,614.084,664.058,612.335,461.091,291.867,584.746,355.267
384.599,555.154,476.332,501.417,445.399,635.377,527.442,600.716,546.258,519.676,685.195
384.771,859.091,892.173,1000.51,814.922,1220.66,866.963,879.684,1171.06,1050.52,1311.32
384.942,561.144,654.42,676.707,591.651,708.614,580.172,688.503,622.704,612.945,581.926
385.113,358.008,491.924,457.988,484.176,509.831,487.442,478.277,461.938,428.874,594.67
385.284,566.07,544.986,452.913,555.507,467.431,624.266,678.06,399.222,533.98,560.784
385.455,550.428,776.009,743.069,636.937,423.313,602.041,778.242,726.162,709.821,748.293
385.626,851.931,776.191,756.288,607.36,931.273,725.661,875.517,607.432,1024.26,941.552
385.798,550.765,484.154,656.94,580.406,517.417,737.168,488.081,593.227,588.447,610.388
385.969,387.484,378.472,478.976,515.776,500.734,690.424,450.421,514.148,622.123,516.989
386.14,942.479,1172.82,1160.62,924.187,1289.25,1304.95,1273.13,1410.83,1359.73,1116.49
386.311,1264.24,1214.52,1066.27,1115.81,1417.14,964.771,1314.09,1155.3,1108.38,1325.87
386.482,776.542,601.377,669.56,569.208,659.063,723.313,790.003,561.488,735.69,623.798
