Wavelength (nm),Curve-1_E (s.u),Curve-2_E (s.u),Curve-3_E (s.u),Curve-4_E (s.u),Curve-5_E (s.u),Curve-6_E (s.u),Curve-7_E (s.u),Curve-8_E (s.u),Curve-9_E (s.u),Curve-10_E (s.u)
392.988,560.314,537.166,566.205,705.259,465.141,476.287,610.587,625.364,531.793,748.717
393.159,304.028,424.886,478.586,514.763,416.659,353.207,421.369,321.544,328.75,499.957
393.331,510.352,490.33,516.014,483.204,434.872,481.169,411.307,538.979,418.833,356.646
393.502,533.517,509.777,432.2,449.205,512.296,335.327,465.322,363.33,386.937,420.235
393.673,445.281,516.852,377.859,373.563,368.486,299.239,502.177,358.634,390.843,333.126
393.844,595.135,545.396,799.33,588.902,594.931,715.612,507.511,321.602,431.658,577.132
394.016,399.312,420.704,509.913,510.194,483.155,437.129,418.721,536.723,410.31,485.226
394.187,307.257,443.325,419.036,472.311,424.807,358.625,433.708,435.203,400.818,491.431
394.358,425.787,359.093,495.213,455.224,427.287,424.941,318.685,373.16,395.467,417.527
394.529,374.557,437.048,482.988,513.391,398.819,414.575,477.521,433.873,512.023,473.349
394.7,412.783,506.504,311.631,495.382,418.675,409.015,392.344,450.91,456.191,542.883
394.872,585.013,540.682,458.082,495.107,378.806,542.572,460.38,548.588,570.333,636.608
395.043,650.013,621.922,613.437,499.531,567.551,566.649,438.502,482.26,523.686,534.872
395.214,741.068,584.182,670.086,665.688,759.087,669.8,594.255,745.814,676.329,644.056
395.385,896.78,993.989,963.421,958.707,806.882,868.231,966.015,931.792,903.437,790.203
395.557,1069.37,1003.41,1030.8,1083.19,1045.67,1060.59,1026.73,1131.33,1099.1,993.928
395.728,1250.84,1267.13,1215.65,1234.43,1222.02,1280.32,1230.59,1201.94,1277.94,1186.17
395.899,1833.48,1840.85,1810.25,1736.33,1821.32,1842.96,1842.26,1816.64,1898.97,1700.82
396.07,1683.19,1663.71,1691.2,1665.6,1713.09,1553.12,1852.14,1711.78,1738.23,1618.17
396.241,2110.19,2079.84,2312.66,2051.29,2102.52,2229.32,2039.44,2336.63,2069.88,2279.81
396.413,2563.26,2549.44,2654.41,2566.02,2598.08,2464.26,2509.49,2408.49,2632.59,2563.69
396.584,2795.62,2880.08,2638.01,2698.5,2733.79,2656.79,2854.33,2862.54,2697.01,2800.81
396.755,2831.91,2635.76,2782.94,2805.74,2741.23,2743.35,2753.29,2776.23,2684.93,2740.05
396.926,2803.61,2890.68,2710.4,2598.43,2739.4,2759.42,2794.64,2762.02,2830.18,2824.88
397.098,2364.41,2329.88,2400.29,2470.32,2352.29,2330.12,2344.67,2278.07,2409.68,2317.69
397.269,1765.42,1970.39,1940.74,1776.84,2068.82,2054.55,1938.19,1904.98,2063.56,1824.6
397.44,1263.33,1157.02,1221.58,1270.5,1237.45,1128.3,1238.95,1362.71,1253.87,1216.45
397.611,884.818,975.783,903.211,875.852,775.103,1056.23,999.827,787.812,886.308,702.614
397.783,552.73,527.411,580.904,667.301,457.409,492.837,513.381,493.965,603.875,590.945
397.954,378.696,482.799,499.378,516.939,535.035,547.269,539.334,579.012,588.684,551.374
398.125,441.559,524.865,436.047,431.954,407.243,421.603,423.57,515.619,485.828,454.501
398.296,489.457,471.23,514.261,442.315,445.712,505.907,579.733,493.546,497.058,487.024
398.467,550.48,539.145,517.647,366.552,553.47,424.898,503.503,537.498,579.496,451.034
398.639,504.141,519.429,552.679,576.567,541.388,564.291,416.339,337.727,465.127,627.999
398.81,550.66,381.85,461.578,517.818,553.453,399.438,605.626,510.491,524.778,485.1
398.981,534.026,574.53,534.948,537.992,467.248,659.397,508.77,645.644,607.951,501.707
399.152,424.93,420.201,566.001,522.397,532.13,552.846,470.689,465.771,462.778,530.901
399.324,587.885,557.789,432.417,501.13,464.776,481.06,602.361,594.609,558.361,523.183
399.495,564.066,541.769,542.278,627.338,623.707,471.037,461.906,557.156,515.499,575.709
399.666,383.538,468.803,430.841,559.311,533.528,472.902,518.727,564.02,607.315,536.29
399.837,729.704,652.564,734.135,675.975,560.679,677.074,669.477,628.427,562.199,740.594
400.009,526.484,575.808,479.85,475.589,604.859,504.673,636.872,558.803,545.705,442.882
400.18,481.272,444.703,501.945,516.265,460.276,472.53,471.934,477.408,487.494,490.727
400.351,590.896,596.915,510.23,659.249,547.38,568.959,467.084,456.058,548.356,433.673
400.522,424.608,520.943,376.87,436.889,392.787,400.111,521.599,423.398,400.494,385.614
400.694,496.738,416.413,449.454,432.309,364.098,633.887,564.311,485.102,472.929,554.212
400.865,379.045,383.183,396.249,341.904,423.18,384.517,446.783,445.701,373.624,463.426
401.036,442.176,484.577,344.973,468.247,373.535,471.928,487.902,476.619,481.271,530.239
401.207,495.121,491.343,601.621,570.971,429.901,416.469,495.058,573.09,572.579,463.436
401.379,482.209,545.711,590.402,409.551,448.257,538.216,546.474,419.119,543.688,517.736
401.55,512.468,481.26,507.018,408.213,499.978,459.869,499.705,578.191,517.128,512.64
401.721,458.29,481.29,537.113,436.224,530.105,436.101,420.433,484.735,478.015,478.576
401.892,422.88,349.82,476.353,472.331,523.378,426.968,490.029,517.113,489.779,564.967
402.063,508.281,394.363,499.307,546.888,514.58,535.737,443.003,418.591,500.506,440.841
402.235,519.244,486.732,437.24,462.035,483.842,394.755,511.247,440.399,405.727,419.474
402.406,485.22,537.404,410.388,529.755,561.047,453.842,485.124,598.229,476.877,599.68
402.577,485.845,569.769,490.845,555.096,480.463,686.321,467.968,524.328,556.696,534.034
402.748,486.297,328.467,395.435,304.408,393.643,461.435,436.814,480.507,563.812,510.445
402.92,516.32,441.658,452.866,485.802,458.143,475.034,458.992,518.681,511.143,392.596
403.091,466.097,338.904,438.335,403.7,326.679,473.011,392.214,451.704,332.627,446.348
403.262,411.223,539.558,390.93,463.296,322.164,482.05,541.373,446.413,537.613,439.503
403.433,473.788,491.045,477.053,376.49,412.392,410.219,472.418,497.924,519.247,484.778
403.605,661.902,586.855,616.992,635.699,635.068,512.906,571.57,563.692,627.861,497.813
403.776,446.358,532.403,415.316,499.369,449.863,478.54,415.369,491.308,449.213,321.134
403.947,531.396,551.809,584.16,608.518,447.79,409.058,507.618,484.167,488.499,510.261
404.118,550.07,427.949,501.686,617.574,584.304,453.285,524.682,553.902,559.779,560.343
404.29,526.414,622.385,616.592,615.039,632.224,544.47,576.597,569.224,585.144,568.094
404.461,610.535,528.567,560.437,591.59,532.235,505.149,582.979,611.925,499.057,529.706
404.632,504.105,494.749,560.818,624.813,571.055,458.369,548.877,464.032,547.415,461.735
404.803,549.017,419.014,411.895,472.145,488.406,578.65,544.443,408.79,540.969,426.31
404.975,518.631,536.934,606.824,532.245,600.161,533.384,590.253,591.603,560.097,516.356
405.146,570.766,438.992,541.985,521.894,540.044,453.875,461.945,562.14,539.492,514.109
405.317,639.066,612.894,617.379,738.009,668.387,598.412,583.21,582.081,634.71,554.324
405.488,618.009,626.358,574.255,581.776,564.464,608.072,497.765,695.691,623.298,554.06
405.66,566.158,630.376,672.26,610.344,646.753,547.62,632.212,622.9,655.625,640.774
405.831,580.397,650.376,613.729,704.954,621.196,648.072,507.097,652.301,653.085,597.893
406.002,631.919,564.953,683.498,633.299,670.743,570.451,661.49,630.718,660.167,631.962
406.174,643.045,637.711,598.443,646.791,568.271,593.414,545.16,691.819,580.143,652.201
406.345,747.886,575.681,698.404,668.053,692.929,689.564,692.595,605.27,639.624,714.452
406.516,641.373,644.012,668.567,674.966,686.257,724.243,698.479,698.616,718.877,698.753
406.687,639.364,618.534,559.963,695.375,620.623,627.436,583.436,567.963,619.985,578.131
406.859,636.777,627.676,528.895,548.566,625.133,596.979,627.146,624.931,570.179,641.611
407.03,585.818,682.186,576.948,613.042,650.388,529.109,628.195,612.556,657.114,635.778
407.201,625.393,634.659,525.822,550.952,551.969,670.344,589.483,567.299,574.758,683.454
407.372,750.077,560.28,624.169,587.709,679.052,656.112,652.936,704.869,573.754,588.564
407.544,570.506,592.726,598.971,637.641,569.542,470.714,579.522,556.638,598.86,655.774
407.715,527.449,564.096,632.796,606.938,695.995,663.098,570.137,549.354,604.026,509.885
407.886,637.483,617.343,620.106,642.378,688.889,588.893,638.42,722.774,664.368,574.959
408.057,862.487,756.042,812.797,725.053,817.891,832.987,770.428,749.896,790.866,759.219
408.229,1217.6,1376.46,1162.01,1234.87,1083.28,1272.03,1191.02,1292.03,1254.41,1198.51
408.4,1906.54,1754.57,1758.64,1771.32,1712.74,1840.29,1856.39,1888.67,1904.93,1853.1
408.571,2233.65,2314.56,2239.99,2389.56,2292.35,2347.66,2273.16,2354.97,2270.74,2264.6
408.742,3094.2,3048.59,3154.1,3117.44,3033.14,3115.3,3106.01,3036.11,3129.86,3106.27
408.914,4344.37,4615.16,4566.58,4232.89,4344.56,4434.87,4429.76,4501.78,4461.48,4290.82
409.085,5572.5,5721.73,5808.3,5733.4,5718.07,5692.67,5486.24,5598.04,5781.44,5650.52
409.256,6466.83,6096.29,6157.7,6446.74,6272.53,6245.88,6101.07,6304.25,6250.49,6059.64
409.428,8185.69,8093.82,8026.6,8153.4,8133.34,7973.6,8259.05,8053.73,8048.69,7990.83
409.599,9045.07,9053.63,8959.17,9155.67,8813.15,9167.36,9245.34,9025.11,8903.99,8958.43
409.77,9151.97,9152.3,9019.67,9050.47,8951.97,9063.53,8895.25,8954.88,8883.13,9044.85
409.941,10290.9,10350.8,10231.1,10300.6,10408.9,10278.4,10076.1,10051.7,10182.0,10217.5
410.113,9254.57,9573.29,9229.09,9351.97,9395.97,9366.28,9219.7,9449.64,9270.92,9479.7
410.284,7211.7,7280.96,7240.85,7304.49,7493.61,7337.62,7442.86,7422.11,7270.36,7344.72
410.455,3970.4,3996.5,3979.45,3929.3,4052.08,3982.0,4137.16,3915.59,3939.0,4014.71
410.626,2360.96,2103.0,2304.48,2187.19,2148.73,2283.12,2179.49,2270.2,2204.28,2309.92
410.798,1009.67,1015.88,1010.51,1075.76,953.546,954.918,1123.26,1053.03,999.866,1114.16
410.969,571.145,694.041,621.695,667.478,590.983,492.893,605.637,652.022,645.868,596.665
411.14,511.866,536.341,585.112,485.798,496.348,455.455,522.115,507.523,461.021,443.63
411.312,564.919,613.863,506.989,643.498,529.262,486.13,559.682,536.855,620.774,570.216
411.483,526.767,421.701,414.169,482.439,542.997,478.999,469.281,504.938,477.071,436.327
411.654,452.612,515.96,581.701,490.058,476.436,553.082,506.408,485.161,498.307,402.044
411.825,464.298,457.692,400.791,357.521,416.078,371.536,391.8,418.594,481.631,422.7
411.997,486.033,560.439,542.423,438.428,503.462,503.736,550.056,436.689,518.952,503.459
412.168,510.264,454.661,435.401,491.882,359.103,493.029,480.424,448.735,496.66,429.132
412.339,341.011,347.391,425.612,443.086,385.68,380.632,449.782,427.661,414.248,435.885
412.51,519.96,474.906,507.173,323.947,335.153,431.778,514.083,556.21,480.941,471.225
412.682,449.197,479.216,436.226,488.623,385.804,444.181,445.772,414.073,514.481,433.301
412.853,410.816,395.036,427.746,441.117,398.143,482.013,392.318,506.301,386.734,368.94
413.024,438.682,351.561,368.698,454.458,389.984,346.297,432.181,494.747,467.374,422.018
413.196,397.097,492.267,403.177,407.818,540.637,395.269,406.334,353.751,439.847,396.046
413.367,374.225,482.912,491.647,446.608,538.55,397.192,446.207,397.801,370.669,428.907
413.538,453.533,493.021,552.767,424.093,478.099,467.575,537.952,470.329,370.533,427.082
413.709,380.665,456.15,380.451,472.189,448.959,442.872,387.507,450.573,409.655,457.83
413.881,390.358,441.816,350.046,351.34,435.727,408.645,420.164,341.04,382.869,349.209
414.052,436.409,380.623,398.815,461.069,343.157,304.739,407.58,392.898,469.4,471.79
414.223,441.807,464.855,479.167,421.114,465.779,459.823,410.888,466.314,489.758,358.744
414.395,545.357,436.925,467.443,485.431,464.799,436.864,437.377,507.911,501.394,500.806
414.566,450.28,447.631,438.213,389.001,406.011,469.307,453.955,432.273,499.276,480.902
414.737,510.889,534.483,453.545,442.349,502.655,501.656,507.472,436.734,411.041,434.763
