Wavelength (nm),Curve-1_E (s.u),Curve-2_E (s.u),Curve-3_E (s.u),Curve-4_E (s.u),Curve-5_E (s.u)
635.231,192.541,196.617,206.446,189.47,188.838
635.402,185.66,219.7,198.28,212.78,216.697
635.573,196.206,201.311,206.145,207.625,220.853
635.744,204.129,202.811,207.25,203.962,223.876
635.915,216.232,242.956,238.676,229.567,221.249
636.086,235.297,247.275,231.356,232.635,218.494
636.257,233.09,237.578,223.781,238.931,238.092
636.428,222.311,217.879,207.376,250.367,228.36
636.599,223.334,251.443,229.767,238.915,232.275
636.77,244.657,220.323,243.422,220.643,206.947
636.941,232.946,224.38,214.305,222.004,222.824
637.112,229.656,234.765,239.195,208.773,247.918
637.283,234.424,221.887,219.476,203.308,221.577
637.454,239.262,223.024,208.387,225.83,229.966
637.625,245.223,243.908,234.037,252.521,234.267
637.796,222.999,231.214,245.998,230.704,218.681
637.967,236.694,228.163,229.478,230.129,247.466
638.138,233.406,253.182,247.058,232.416,240.259
638.309,239.652,247.034,229.109,256.661,232.441
638.48,264.702,251.602,247.336,255.021,274.457
638.651,264.654,277.022,274.407,270.085,269.661
638.822,279.274,296.229,284.058,269.137,262.067
638.993,257.858,266.938,246.623,272.676,280.995
639.164,280.278,266.09,265.964,289.244,275.328
639.335,279.423,278.93,273.191,298.175,288.602
639.506,284.927,314.527,302.365,315.886,281.223
639.677,300.434,295.002,297.762,301.304,320.91
639.848,318.121,322.4,308.194,301.187,316.082
640.019,302.454,305.696,340.897,308.696,314.057
640.19,326.443,331.139,331.011,343.27,329.169
640.361,327.613,326.497,335.725,320.586,323.902
640.532,331.602,329.879,334.303,330.402,323.562
640.703,343.321,318.653,354.702,322.689,329.915
640.874,351.588,343.669,342.092,331.582,320.203
641.045,349.119,360.836,358.432,335.725,339.229
641.216,331.572,334.812,324.36,333.267,343.782
641.387,364.351,343.008,346.802,370.386,352.401
641.558,360.981,358.027,361.2,359.786,348.417
641.729,371.65,381.506,393.571,375.0,379.123
641.9,392.719,396.37,370.676,402.246,409.449
642.071,382.382,403.778,435.626,396.869,392.319
642.242,399.436,414.83,419.435,410.607,419.867
642.413,407.64,415.847,433.71,414.301,443.038
642.584,418.903,437.633,416.437,411.512,423.066
642.755,431.493,443.392,441.403,433.393,438.124
642.926,453.287,446.218,443.817,453.125,438.477
643.097,460.87,464.724,459.032,457.828,454.728
643.268,477.418,457.42,464.892,486.511,474.163
643.439,457.824,500.005,493.484,474.147,466.512
643.61,501.905,471.32,475.106,453.895,483.789
643.781,489.617,498.224,501.602,507.413,494.191
643.952,524.901,520.083,549.917,504.692,520.8
644.123,529.176,527.467,545.065,534.582,502.406
644.294,522.028,544.048,538.551,529.708,549.509
644.465,549.195,535.52,549.208,552.54,560.161
644.636,549.359,577.121,587.292,584.85,569.795
644.807,578.466,584.177,575.594,552.75,581.797
644.978,638.505,662.329,625.343,625.786,608.892
645.149,631.779,647.997,641.271,632.031,658.803
645.32,668.978,646.86,660.333,667.786,671.073
645.491,700.611,688.439,681.524,667.176,663.261
645.662,697.774,683.108,700.258,709.96,702.541
645.833,709.85,678.473,721.403,681.049,711.12
646.004,714.134,731.587,727.127,718.3,743.629
646.175,703.803,715.274,720.08,711.671,725.04
646.346,688.285,719.817,708.741,702.165,709.381
646.517,765.813,737.733,743.574,736.394,691.671
