?	Curve-1_E	Curve-2_E	Curve-3_E	Curve-4_E	Curve-5_E	Curve-6_E	Curve-7_E	Curve-8_E	Curve-9_E	Curve-10_E
nm	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u
369.023	6.02771	17.3812	10.3436	0	0	11.7741	15.6242	0	27.4536	12.0878
369.195	13.6753	3.72956	0	2.43781	0	0	2.24565	24.0156	15.7134	9.90494
369.366	329.938	514.267	400.167	502.502	366.079	576.921	449.167	215.491	512.405	258.889
369.537	25.7178	9.49153	8.46143	0	4.74597	6.34197	4.73082	12.5744	18.1986	0
369.708	81.2621	198.12	407.886	518.3	289.439	98.1711	418.914	270.462	324.938	319.04
369.879	7.50811	302.604	121.673	76.8084	196.864	486.717	130.35	0	35.2838	187.024
370.05	326.057	269.042	264.364	321.877	283.046	213.08	373.911	79.1557	407.6	383.926
370.221	0	14.2355	0	0	4.5747	25.5584	9.47475	5.30339	10.9276	2.11538
370.393	329.805	410.566	146.772	21.8681	157.928	98.7811	321.119	319.139	164.903	157.484
370.564	10.6824	5.92499	5.16796	10.6407	10.1906	2.50236	3.62188	18.8383	4.5286	12.9196
370.735	26.4931	14.909	36.8165	12.252	0	3.02134	15.0635	12.2575	9.68971	8.52335
370.906	22.4923	0	16.7048	13.1663	10.8048	2.29732	8.87817	12.3527	2.41209	0
371.077	13.905	0	28.3244	14.9556	0	19.1052	16.1287	19.6033	9.3896	15.323
371.248	301.576	76.9853	360.849	435.822	382.551	267.499	508.473	531.544	267.628	305.618
371.419	263.672	94.2226	340.269	313.678	272.265	430.874	554.775	718.457	138.647	390.236
371.591	267.973	316.638	251.825	120.696	175.381	48.0474	100.003	251.361	132.769	187.333
371.762	0	0	159.19	51.0589	54.6374	263.385	397.756	11.9664	291.484	143.614
371.933	11.2414	16.8605	7.09229	23.2146	17.0302	19.4454	10.1883	18.8511	0.718529	19.7591
372.104	358.968	595.043	190.092	446.759	615.839	652.003	251.166	287.883	343.164	624.885
372.275	53.4787	638.232	488.955	492.791	343.235	597.456	448.023	164.506	323.913	385.879
372.446	318.977	92.6532	405.027	414.13	523.204	372.833	290.247	227.263	135.224	502.628
372.617	417.274	615.217	546.731	419.31	139.656	327.891	436.275	540.814	797.813	442.628
372.789	21.1472	12.2938	21.6402	18.1017	20.9285	30.1703	35.932	18.3804	17.724	8.9118
372.96	0.576743	13.8417	5.16574	17.4652	8.55001	22.9801	3.3466	23.2051	14.6298	12.3712
373.131	17.4974	14.1053	10.6176	28.9245	23.8323	27.8859	7.70618	21.2842	30.1852	8.5388
373.302	1.33447	0	19.3037	20.4074	19.6843	12.8152	13.3886	3.20977	7.19558	21.321
373.473	32.2929	13.336	18.3134	12.8635	14.3249	23.0206	18.1327	23.7917	24.2277	28.7957
373.644	8.79672	21.7886	23.7623	15.5817	0.385987	10.9932	13.7511	4.66454	27.765	20.3181
