?	Raw_E	Curve-2_E	Curve-3_E	Curve-4_E	Curve-5_E	Curve-6_E	Curve-7_E	Curve-8_E	Curve-9_E	Curve-10_E
nm	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u
383.743	426.666	298.052	560.708	401.3	337.825	291.629	513.716	303.252	498.875	612.625
383.915	372.359	502.482	238.619	371.861	482.919	403.164	531.536	364.88	455.969	599.151
384.086	366.136	338.739	315.411	362.304	452.794	347.742	315.574	447.738	526.41	372.174
384.257	736.747	671.871	402.063	587.627	267.382	306.684	467.317	272.653	588.602	496.428
384.428	198.408	328.084	322.398	329.709	150.399	251.793	339.357	350.141	42.2879	236.326
384.599	362.031	97.2673	313.197	513.642	334.805	123.265	184.417	492.74	158.393	307.979
384.771	153.745	417.833	540.996	263.764	380.399	215.995	833.393	175.539	433.468	659.176
384.942	449.61	420.048	374.737	385.874	232.032	128.109	343.209	377.896	149.044	320.219
385.113	454.635	234.674	87.6965	91.8056	185.985	277.074	224.82	181.167	267.426	335.42
385.284	245.567	330.534	332.862	286.803	263.097	201.851	141.184	278.644	384.842	289.162
385.455	288.509	293.166	313.143	323.923	293.206	311.02	327.621	297.253	371.571	433.307
385.626	520.462	416.89	307.612	359.104	283.539	354.675	380.941	384.467	459.015	265.776
385.798	349.992	376.998	229.126	376.467	254.385	207.013	158.291	300.902	268.873	305.728
385.969	159.013	275.583	298.619	214.159	204.432	296.962	298.929	278.376	149.727	241.124
386.14	694.127	569.187	487.32	680.522	668.28	581.551	480.998	666.385	240.402	622.441
386.311	710.353	249.767	428.061	364.377	619.16	627.742	457.196	582.769	797.323	472.522
386.482	501.825	223.333	316.259	299.852	264.705	437.225	367.019	167.678	271.495	291.444
386.654	215.022	244.405	278.935	306.483	159.734	317.23	374.382	251.019	344.607	280.252
386.825	344.459	294.389	153.133	269.125	185.856	147.712	308.164	138.66	237.112	360.102
386.996	357.658	330.158	301.682	332.854	289.672	244.773	225.213	395.151	216.799	272.556
387.167	339.798	209.132	194.597	227.086	225.033	229.854	226.779	392.562	387.817	288.021
