?	Curve-1_E	Curve-2_E	Curve-3_E	Curve-4_E	Curve-5_E	Curve-6_E	Curve-7_E	Curve-8_E	Curve-9_E	Curve-10_E
nm	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u
386.996	80.9285	213.329	248.961	149.148	189.359	270.067	184.648	293.515	221.578	156.849
387.167	195.558	176.525	92.0413	208.428	163.259	129.91	177.979	181.212	131.373	192.933
387.338	184.307	376.188	79.5399	447.312	80.5438	313.524	171.942	195.293	123.837	112.81
387.51	245.266	172.584	227.098	160.978	258.843	278.948	347.943	411.502	247.438	505.578
387.681	283.902	347.503	360.067	194.818	325.855	327.189	194.549	276.784	424.181	323.756
387.852	197.056	389.016	444.276	374.317	370.855	173.89	180.551	380.175	390.285	375.109
388.023	313.587	213.944	365.646	236.28	227.922	241.313	141.661	295.178	228.038	296.112
388.194	334.13	119.232	304.293	121.1	238.41	378.026	288.4	344.77	330.162	267.998
388.366	229.408	386.34	446.475	370.451	264.961	357.892	354.168	339.92	513.94	296.932
388.537	479.247	464.975	467.541	401.878	402.513	459.656	538.502	423.892	519.677	359.853
388.708	263.169	269.285	388.006	257.929	390.997	280.399	361.161	157.926	211.06	505.726
388.879	188.816	208.223	216.574	258.73	213.4	201.59	367.53	142.898	310.13	334.991
389.05	152.789	290.533	142.238	281.714	318.349	315.123	268.998	259.999	170.213	276.915
389.222	270.064	313.952	205.978	175.89	390.691	305.994	262.748	222.857	260.209	197.346
389.393	144.697	169.58	130.631	96.6382	218.797	235.908	155.459	169.51	144.17	218.184
389.564	251.573	278.091	113.387	158.488	219.243	251.509	169.489	81.4388	185.696	162.846
389.735	68.6961	98.8771	96.9387	126.998	277.185	219.788	169.698	249.825	92.5564	202.259
389.906	21.7763	134.897	67.4165	40.658	275.291	109.85	17.9177	300.928	230.68	144.985
390.078	39.5934	38.0531	137.715	206.825	155.144	81.174	0	72.3197	55.4934	129.421
390.249	29.3027	107.152	129.009	156.219	140.289	187.792	137.431	226.934	212.926	219.201
390.42	0	170.121	265.704	257.035	114.275	161.018	56.8137	124.636	0	180.837
