?	Curve-1_E	Curve-2_E	Curve-3_E	Curve-4_E	Curve-5_E	Curve-6_E	Curve-7_E	Curve-8_E	Curve-9_E	Curve-10_E
nm	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u
383.401	611.188	641.304	615.797	630.707	488.057	741.52	557.615	317.37	731.319	466.904
383.572	718.425	801.045	807.028	541.295	625.615	274.165	533.922	710.455	515.738	743.195
383.743	684.492	447.177	705.716	747.84	334.416	586.115	504.622	560.262	609.588	905.283
383.915	712.737	460.429	517.283	601.743	557.321	735.404	537.489	868.781	673.879	669.664
384.086	719.022	332.694	598.748	583.901	603.62	509.308	633.818	745.397	552.141	496.578
384.257	773.038	1171.06	1230.65	768.487	712.926	510.712	659.074	465.048	837.651	707.114
384.428	459.72	344.12	443.07	509.078	463.233	294.017	494.508	335.41	341.307	351.829
384.599	557.98	362.2	539.625	444.163	509.894	334.991	587.101	533.792	528.832	513.417
384.771	756.116	865.387	942.574	941.152	818.495	787.65	705.609	868.01	883.247	722.381
384.942	568.579	596.757	428.747	487.336	389.715	371.89	353.492	598.628	436.793	628.214
385.113	409.008	441.966	353.875	354.237	468.902	353.943	461.703	408.033	456.823	397.096
385.284	483.172	427.382	348.203	370.833	407.998	482.105	417.666	391.814	463.996	426.65
385.455	377.688	376.566	318.033	481.385	585.798	549.587	403.641	703.134	425.332	651.138
385.626	792.302	553.978	741.364	604.593	719.039	469.292	825.358	477.08	581.676	641.829
385.798	474.691	408.687	470.721	469.964	518.714	432.966	437.382	520.116	314.524	440.534
385.969	358.628	378.585	520.165	325.69	354.063	458.111	577.709	439.016	376.142	318.992
386.14	1099.33	1045.98	1000.46	966.055	973.027	838.837	1052.17	805.181	875.615	738.503
386.311	935.955	776.177	800.021	1039.57	1310.48	772.527	760.407	1048.84	1068.37	1080.57
386.482	685.093	466.752	586.179	620.81	535.253	385.479	502.479	409.248	518.592	514.509
386.654	400.031	359.16	394.606	427.884	502.011	379.945	429.514	473.049	459.454	423.073
386.825	358.075	464.718	488.572	378.138	483.714	440.039	458.974	400.299	360.407	341.28
386.996	404.274	371.268	460.09	541.073	439.151	424.664	592.404	474.636	477.983	404.32
387.167	436.657	412.005	491.517	340.395	448.43	389.483	441.505	413.492	426.085	344.102
387.338	680.603	434.547	560.16	469.321	682.139	599.977	531.776	629.732	698.131	648.918
387.51	826.567	702.209	617.615	626.896	809.502	657.169	655.81	656.647	765.187	801.363
387.681	608.59	697.679	710.801	730.891	751.13	772.934	749.138	664.473	741.669	714.966
387.852	709.265	712.506	481.672	740.521	776.69	697.538	757.619	854.592	603.276	688.523
388.023	706.417	564.857	645.695	587.259	444.636	564.696	529.525	647.901	593.971	552.927
388.194	743.215	696.518	461.571	733.683	585.425	638.143	733.188	488.248	565.618	563.37
388.366	770.28	699.105	730.289	755.569	783.62	688.958	687.252	604.482	816.816	692.394
388.537	729.017	905.281	850.065	959.15	847.796	879.967	800.176	922.403	1101.85	937.995
388.708	773.556	596.375	649.288	786.282	606.114	753.337	636.591	665.065	392.726	654.999
388.879	637.128	732.587	685.358	886.012	714.068	776.533	779.107	663.006	738.136	692.13
389.05	668.951	660.948	758.689	745.023	728.823	612.556	596.354	591.096	696.225	586.856
389.222	543.315	676.816	708.312	659.997	570.938	782.681	563.161	631.112	666.809	670.348
389.393	483.784	497.006	576.215	399.155	524.734	442.398	406.089	523.327	426.904	447.779
389.564	470.993	412.099	564.864	541.389	511.363	436.264	469.975	488.544	553.761	463.674
389.735	532.025	277.324	375.6	410.026	324.085	258.506	486.209	556.999	334.661	476.197
389.906	388.532	443.687	547.984	430.642	473.439	592.071	444.416	494.947	427.053	602.875
390.078	447.877	441.563	435.596	247.686	360.005	347.09	499.347	403.253	426.591	328.27
390.249	285.643	362.517	363.93	318.692	332.032	296.441	380.568	228.933	384.132	270.352
390.42	491.169	671.788	642.052	613.032	625.35	582.44	698.036	644.063	601.546	847.973
390.591	336.274	393.812	405.76	355.023	369.042	568.801	443.009	411.304	319.076	426.537
390.763	562.836	351.703	274.089	389.453	344.313	460.42	351.598	437.787	349.3	399.705
390.934	319.438	391.017	376.878	375.61	423.729	242.546	450.913	390.84	309.608	310.776
391.105	494.202	574.153	472.322	546.072	493.736	335.682	432.107	511.611	344.202	516.551
391.276	432.697	349.117	447.032	350.95	337.003	188.598	424.519	429.962	403.905	410.244
391.447	483.589	343.416	463.482	314.608	434.566	456.942	305.843	364.135	458.52	400.06
391.619	562.303	458.008	396.018	437.182	410.306	545.928	477.13	413.695	422.986	575.93
391.79	529.012	502.134	700.31	487.385	613.367	517.582	470.206	447.588	498.363	371.007
391.961	437.378	445.226	418.791	288.975	342.685	422.446	297.125	441.567	404.876	437.355
392.132	331.947	436.262	418.296	371.32	421.881	522.538	445.097	524.343	505.022	486.209
392.303	503.984	415.407	487.112	390.859	386.97	396.205	377.252	382.733	369.115	298.381
392.475	443.44	291.089	471.818	377.303	442.651	507.829	491.034	410.498	485.027	408.077
392.646	452.796	501.146	314.22	366.87	355.21	417.377	343.24	374.877	304.274	393.659
392.817	338.176	298.059	284.504	408.591	335.651	172.099	300.17	228.331	308.491	325.724
392.988	743.476	493.364	686.165	610.086	610.206	524.181	589.221	490.459	639.375	673.204
393.159	341.857	488.121	325.429	430.256	359.647	400.288	391.903	330.057	453.492	411.976
393.331	441.496	351.084	344.75	410.86	482.985	311.524	369.169	503.546	398.039	401.923
393.502	390.934	442.767	313.836	339.04	418.26	370.075	355.032	461.215	370.283	407.502
393.673	393.451	379.94	388.739	315.799	321.208	363.998	279.173	338.647	432.529	411.493
393.844	667.824	545.374	531.719	583.414	608.544	402.893	499.688	431.918	762.41	433.775
394.016	399.903	428.144	531.218	420.119	411.854	392.441	345.21	486.076	424.653	435.179
394.187	402.485	390.096	415.383	329.917	308.706	370.206	448.725	330.131	421.446	362.712
394.358	308.175	283.207	430.486	297.4	434.155	357.153	353.467	350.284	304.534	296.297
394.529	294.289	523.693	375.387	458.561	399.266	294.806	413.758	352.538	472.044	412.053
394.7	518.855	429.196	404.597	308.113	424.491	293.319	573.962	456.87	383.881	487.82
394.872	424.068	535.186	480.742	394.546	434.299	392.685	476.91	495.115	344.711	473.404
395.043	321.392	419.663	433.267	563.633	437.377	422.401	538.716	437.61	542.511	415.54
395.214	550.695	606.888	574.039	458.545	518.215	611.12	581.964	516.952	549.808	617.748
395.385	723.58	603.526	762.131	715.946	610.395	641.342	620.364	700.104	801.845	789.201
395.557	668.293	616.945	635.854	620.124	578.812	564.548	611.433	733.81	736.834	687.017
395.728	770.935	764.45	754.558	800.483	752.551	836.379	685.392	762.983	822.114	604.427
395.899	1025.15	1034.7	972.059	972.531	894.526	878.801	911.431	1005.11	1058.54	1002.63
396.07	976.79	927.808	919.552	910.68	755.602	778.411	804.548	861.053	863.825	831.469
396.241	1082.64	1120.35	1014.23	1109.57	1193.95	1118.56	1034.87	1031.05	1081.7	1005.42
396.413	1208.94	1129.03	1271.41	1341.12	1264.94	1337.7	1310.27	1285.61	1173.11	1302.07
396.584	1427.68	1403.12	1306.33	1415.83	1344.26	1555.1	1413.46	1390.34	1323.6	1272.05
396.755	1356.1	1417.36	1258.67	1396.16	1306.71	1352.08	1389.22	1447.54	1402.07	1496.39
396.926	1452.76	1522.26	1496.97	1405.68	1405.42	1471.19	1513.82	1336.93	1495.21	1400.1
397.098	1551.48	1322.81	1356.31	1357.74	1400.04	1374.22	1489.05	1306.03	1359.11	1277.64
397.269	1307.08	1380.03	1274.16	1259.4	1353.11	1393.23	1359.35	1284.32	1354.55	1451.14
397.44	985.897	1011.07	977.584	1102.53	1111.44	905.617	892.779	1023.2	838.609	996.247
397.611	806.139	819.224	879.764	862.859	803.53	904.32	1008.54	893.883	824.053	788.715
397.783	502.757	524.722	552.044	627.622	581.968	498.733	540.451	473.198	523.039	466.093
397.954	489.345	564.579	566.223	497.333	521.894	504.423	456.918	402.424	571.765	510.842
398.125	427.297	333.52	436.15	347.377	345.754	467.167	335.895	484.15	480.317	492.975
398.296	373.99	457.06	510.669	403.755	427.353	386.312	398.578	449.127	487.64	575.403
398.467	432.777	393.906	468.913	324.884	519.781	500.754	535.219	489.251	399.652	476.397
398.639	498.006	457.101	510.798	293.378	416.626	489.572	506.716	418.366	395.949	472.336
398.81	407.238	348.834	480.848	507.148	450.432	502.948	507.323	399.893	432.086	460.372
398.981	507.094	490.032	438.19	506.323	512.005	509.071	477.167	415.735	472.071	506.717
399.152	255.175	332.291	432.266	420.057	364.903	454.324	425.154	378.246	461.089	397.255
399.324	519.114	409.809	525.539	351.363	328.512	364.447	370.041	428.402	314.427	352.888
