?	Curve-1_E	Curve-2_E	Curve-3_E	Curve-4_E	Curve-5_E	Curve-6_E	Curve-7_E	Curve-8_E	Curve-9_E	Curve-10_E
nm	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u	s.u
381.005	392.841	537.907	263.659	220.802	316.304	432.807	331.204	572.241	361.37	474.093
381.176	131.652	241.278	451.852	238.273	314.737	177.145	300.294	424.009	254.495	321.271
381.347	393.16	101.182	183.054	194.432	291.19	110.638	199.728	252.79	234.167	177.974
381.518	320.896	467.727	318.272	381.021	372.428	305.892	272.282	476.322	306.686	294.016
381.689	403.613	183.576	293.361	203.111	296.06	378.343	126.472	85.6134	301.82	302.417
381.86	508.558	617.071	449.06	420.65	297.017	664.489	585.289	693.981	481.273	451.047
382.032	905.46	479.991	197.326	699.657	713.359	758.309	551.116	620.834	588.317	856.794
382.203	768.758	600.773	444.976	650.956	497.058	469.804	274.049	525.003	406.639	634.374
382.374	540.264	325.508	626.731	345.123	530.923	583.622	763.063	370.48	386.388	614.037
382.545	659.57	727.591	486.508	598.319	463.395	689.708	654.814	518.305	558.948	465.089
382.716	404.566	257.752	436.506	306.185	435.422	222.156	350.143	330.346	436.21	309.019
382.887	665.271	675.802	407.993	560.708	474.319	522.358	212.734	734.165	526.014	534.383
383.059	268.63	334.668	366.279	184.02	366.153	276.207	456.659	302.838	414.353	470.728
383.23	651.107	518.779	875.318	723.679	563.815	563.979	616.077	550.808	596.451	493.699
383.401	456.825	633.675	797.358	467.753	596.521	582.114	531.711	404.824	640.126	481.675
383.572	446.291	717.955	507.371	506.545	599.28	535.493	559.718	610.744	504.428	711.821
383.743	451.285	506.583	551.428	434.22	612.049	411.954	457.477	450.926	643.312	650.295
383.915	703.866	461.153	444.329	577.738	559.848	592.699	713.21	511.905	584.442	631.324
384.086	603.727	907.071	443.873	432.808	589.883	567.607	485.184	406.861	276.276	593.31
384.257	530.035	460.632	931.371	671.125	648.813	815.142	663.549	839.511	597.188	699.106
384.428	353.275	296.436	250.858	337.078	254.16	418.034	275.576	243.901	482.083	339.688
384.599	345.041	414.014	521.451	363.397	639.96	487.676	452.714	520.065	382.637	387.019
384.771	633.015	1053.51	671.22	684.437	465.745	693.118	912.005	642.256	738.071	681.861
384.942	260.527	400.453	475.573	470.754	336.588	419.247	427.784	407.51	513.335	469.746
385.113	293.883	375.752	200.404	391.116	222.846	372.082	284.027	324.467	340.208	392.334
385.284	206.744	230.112	339.552	516.895	382.212	373.532	506.146	415.718	394.774	417.199
385.455	588.554	565.637	581.336	384.818	591.339	410.688	556.504	555.846	485.439	476.139
385.626	406.226	645.497	397.741	294.468	619.243	648.44	570.504	528.427	368.365	478.491
385.798	378.985	301.361	307.505	304.329	400.3	415.775	400.854	481.769	392.971	325.048
385.969	337.533	434.357	295.351	338.242	376.696	390.978	418.918	456.594	455.288	370.546
386.14	743.06	799.987	617.205	674.02	767.909	923.645	908.391	754.711	962.999	972.335
386.311	811.759	949.31	887.71	684.981	925.443	826.685	885.496	613.322	593.674	665.807
386.482	625.689	598.381	419.132	476.766	389.351	496.251	510.706	479.465	561.338	310.759
386.654	481.622	310.432	283.293	309.174	336.325	335.436	544.214	380.31	342.847	307.342
386.825	350.296	416.448	342.294	369.886	385.5	437.429	431.266	432.898	286.314	490.673
386.996	427.23	347.334	394.557	442.366	439.358	300.864	446.934	537.842	381.252	418.925
387.167	348.787	410.426	419.754	472.456	288.449	277.756	263.317	346.085	380.033	444.68
387.338	510.645	552.824	611.401	648.597	464.149	601.024	658.208	479.333	443.443	679.381
387.51	530.235	578.42	504.057	727.049	452.441	546.73	351.254	736.896	725.748	650.09
387.681	603.526	746.896	776.536	796.541	714.036	593.278	724.854	673.93	910.372	645.178
387.852	619.785	638.196	494.031	462.832	495.145	624.163	504.251	752.613	659.685	491.114
388.023	693.219	671.247	528.005	599.589	642.695	541.814	448.813	496.712	584.285	568.062
388.194	598.356	651.802	631.315	521.648	594.518	614.675	579.07	698.824	565.37	761.178
388.366	826.256	753.728	765.701	485.778	648.744	631.889	693.42	703.097	838.126	604.473
388.537	652.922	787.655	817.716	931.686	797.556	936.614	1013.84	800.096	894.637	811.666
388.708	618.146	830.821	646.45	588.177	711.3	626.122	750.115	717.265	658.468	632.346
388.879	553.081	795.7	684.883	622.735	681.875	704.21	879.572	635.898	649.118	679.912
389.05	522.267	431.666	616.379	671.326	591.535	610.193	609.825	634.654	540.578	531.819
389.222	457.896	550.749	618.359	413.176	618.146	532.06	715.18	669.486	713.616	492.732
389.393	439.966	371.358	389.57	377.431	306.651	370.711	504.223	418.822	469.033	448.065
389.564	467.015	472.797	421.649	387.312	275.589	356.99	506.174	361.88	364.335	430.33
389.735	373.16	253.909	298.042	357.112	428.556	323.13	419.697	363.474	517.085	273.111
389.906	581.814	506.441	372.469	397.665	472.238	381.674	466.152	319.414	515.745	385.115
390.078	438.556	375.454	365.509	290.664	311.164	355.54	373.27	340.433	321.055	355.795
390.249	442.425	277.717	207.066	345.44	393.336	388.895	329.542	217.982	294.526	412.528
390.42	649.402	612.84	643.767	323.496	275.787	577.146	557.289	568.054	404.79	588.871
390.591	385.553	251.602	420.402	395.27	217.129	240.904	359.108	286.405	269.271	556.021
390.763	388.035	427.601	505.828	253.621	368.645	358.35	357.86	428.942	510.242	437.578
390.934	241.574	361.222	353.069	425.258	294.816	336.884	403.838	455.442	392.2	380.05
391.105	434.501	561.636	553.635	413.13	546.969	494.01	538.157	465.947	342.652	593.264
391.276	318.641	333.117	321.517	435.07	466.691	415.663	332.63	334.235	339.956	441.584
391.447	350.29	293.722	261.508	412.257	259.088	238.727	249.817	275.436	341.648	256.152
391.619	338.096	477.863	402.75	287.094	465.64	336.495	462.307	293.562	340.102	319.738
391.79	498.177	508.736	485.376	505.738	452.051	461.97	517.04	426.376	609.374	717.969
391.961	318.957	288.321	311.445	377.204	195.358	366.34	353.874	357.219	366.459	371.644
392.132	319.142	415.377	287.248	435.437	397.943	365.624	312.172	478.138	348.182	638.233
392.303	465.644	341.819	423.277	319.602	310.584	439.286	341.567	394.657	442.892	521.685
392.475	450.683	329.319	364.205	339.239	293.021	419.25	379.505	396.092	471.468	443.934
392.646	311.609	281.47	271.659	261.863	398.46	236.814	326.741	277.548	284.63	420.167
392.817	336.321	304.423	394.663	293.595	279.133	276.414	403.621	318.866	310.279	300.257
392.988	446.969	613.746	636.57	340.366	525.636	503.786	637.809	456.928	460.002	538.44
393.159	336.839	187.931	284.536	322.329	260.426	248.312	306.109	270.149	305.072	290.262
393.331	370.399	395.206	242.327	322.764	288.822	457.52	309.596	271.857	306.971	411.647
393.502	333.777	412.196	359.961	316.634	243.533	256.448	346.007	384.476	162.053	440.422
393.673	347.532	329.343	272.722	280.513	302.59	275.687	399.642	358.493	316.267	367.631
393.844	384.965	486.956	411.88	437.774	410.979	479.347	489.041	522.117	495.532	429.95
394.016	330.257	315.209	365.078	416.786	410.976	340.516	267.817	398.399	429.558	401.611
394.187	361.636	365.098	338.582	373.534	401.71	384.677	358.85	360.386	325.608	365.571
394.358	340.641	343.795	351.276	237.739	286.996	359.948	261.558	314.503	333.54	296.564
394.529	399.936	336.252	393.157	429.898	388.187	399.095	399.085	509.671	442.037	366.909
394.7	374.147	416.592	360.261	293.758	266.763	396.741	421.594	313.797	369.692	304.371
394.872	302.265	300.193	346.361	423.241	436.675	413.159	347.5	379.456	509.455	520.052
395.043	364.55	313.519	453.82	392.763	378.452	458.238	420.746	420.814	398.81	504.32
395.214	364.591	399.026	464.226	557.557	475.855	446.173	516.594	474.718	490.195	520.652
395.385	569.527	575.382	591.419	667.208	655.702	682.316	602.545	650.801	621.979	687.57
395.557	667.972	563.262	656.233	488.897	592.288	557.945	429.821	712.745	692.713	619.341
395.728	676.707	590.283	740.919	641.887	667.151	673.11	702.076	722.408	672.347	623.47
395.899	848.414	869.838	1022.58	802.624	948.535	885.224	999.111	874.425	913.037	897.41
396.07	803.168	887.286	769.715	888.268	944.378	883.451	855.164	862.399	713.765	904.161
396.241	1133.08	1103.64	1015.45	1132.7	1031.84	1050.65	1165.99	1106.03	1091.15	1101.08
396.413	1176.96	1080.02	1130.39	1114.76	1126.5	1209.23	1137.91	1169.56	1265.03	1191.58
396.584	1284.66	1295.34	1192.02	1182.7	1162.74	1302.71	1223.32	1172.58	1260.3	1357.97
396.755	1201.53	1336.02	1329.33	1234.48	1348.57	1178.01	1294.44	1268.79	1307.09	1398.38
396.926	1380.7	1322.42	1414.33	1343.07	1396.06	1373.92	1290.26	1329.18	1320.71	1427.27
397.098	1266.99	1324.62	1222.21	1333.52	1319.01	1253.99	1284.36	1484.99	1398.88	1416.2
397.269	1253.14	1124.91	1170.39	1334.6	1159.18	1230.2	1114.3	1094.1	1121.47	1146.34
397.44	1037.4	1011.34	859.825	901.361	909.664	853.58	943.51	824.637	1000.47	973.659
397.611	830.234	848.266	791.38	719.743	809.097	714.084	896.537	710.161	609.76	773.362
397.783	509.985	543.194	548.616	488.476	546.677	528.821	495.513	454.702	541.478	437.614
397.954	464.16	535.877	377.225	500.475	396.022	415.221	377.308	507.399	440.701	385.505
398.125	342.676	421.49	307.331	337.792	333.477	323.146	368.11	381.125	376.465	448.562
398.296	261.959	325.165	362.107	292.626	379.777	476.767	366.696	380.196	416.536	370.988
398.467	300.359	444.281	355.363	285.471	318.458	346.562	306.995	402.471	331.058	381.29
398.639	405.401	322.098	397.219	367.94	395.42	285.568	364.458	340.728	306.998	361.011
398.81	445.788	435.726	420.772	358.575	335.164	378.131	434.747	386.605	399.15	331.719
398.981	569.117	297.394	442.145	365.413	386.9	456.953	323.329	512.009	407.065	407.495
